iter	Logloss
438	0.2205586705
439	0.2196356011
440	0.219305977
441	0.2188477294
442	0.2181858563
443	0.2180146755
444	0.2179136786
445	0.2168144285
446	0.216778035
447	0.2161896891
448	0.2151120867
449	0.2145672452
450	0.2141871607
451	0.213677349
452	0.2133344723
453	0.2127235072
454	0.2124724087
455	0.2116551396
456	0.2109250424
457	0.2105224527
458	0.2101120157
459	0.2098072694
460	0.2092460803
461	0.2091312808
462	0.209071913
463	0.2079353789
464	0.2070537663
465	0.2063884691
466	0.2060958655
467	0.2058922042
468	0.2057636739
469	0.2046548076
470	0.2032605625
471	0.2025370539
472	0.202241501
473	0.2020902239
474	0.2016002573
475	0.2014078869
476	0.20094383
477	0.2008326876
478	0.1998555204
479	0.1988353867
480	0.198380854
481	0.1977264689
482	0.197673757
483	0.1973985968
484	0.1971150825
485	0.1966255626
486	0.196119569
487	0.1953584413
488	0.1947584608
489	0.1947211848
490	0.1946925604
491	0.1940056799
492	0.1939186023
493	0.1935106639
494	0.1929352839
495	0.1928419808
496	0.1922538075
497	0.1920724975
498	0.1917717968
499	0.1913249262
500	0.1909559015
501	0.1907081157
502	0.1904964984
503	0.1900985582
504	0.1899603734
505	0.1898482576
506	0.1895860934
507	0.1892126073
508	0.189140472
509	0.1887105142
510	0.1875829512
511	0.1873296174
512	0.1865862436
513	0.186244938
514	0.1857186641
515	0.1849374088
516	0.1845279005
517	0.1841807463
518	0.1840912343
519	0.1837066465
520	0.18295989
521	0.1825178297
522	0.1823194175
523	0.1819987794
524	0.1809877634
525	0.1807363945
526	0.1805238347
527	0.1802960776
528	0.1802036466
529	0.1797764781
530	0.1789175581
531	0.1788002582
532	0.1787333457
533	0.178466016
534	0.178448954
535	0.178119991
536	0.1776102458
537	0.177363739
538	0.177002693
539	0.1766659534
540	0.1765617407
541	0.175929411
542	0.1757537539
543	0.1749073778
544	0.1745834884
545	0.1742156644
546	0.1741754487
547	0.1734057987
548	0.1731637825
549	0.1725901266
550	0.1724514718
551	0.1723573593
552	0.1721900512
553	0.1714440054
554	0.170438702
555	0.1701396385
556	0.1700683183
557	0.1699768621
558	0.1695361062
559	0.169345302
560	0.1692161725
561	0.1684554872
562	0.167953178
563	0.1675853285
564	0.1672319931
565	0.166610097
566	0.1664484882
567	0.1660949622
568	0.1657324358
569	0.1656231263
570	0.165315202
571	0.1649676335
572	0.1642564328
573	0.1635251792
574	0.1633215579
575	0.162901474
576	0.1624696382
577	0.1621179733
578	0.162094211
579	0.1617693342
580	0.160800115
581	0.1607583794
582	0.1606608891
583	0.1601611205
584	0.1595876695
585	0.1589559479
586	0.1588074982
587	0.1586625025
588	0.1583658317
589	0.1582329611
590	0.1578338954
591	0.1576319483
592	0.1570441363
593	0.15669196
594	0.156113709
595	0.155994977
596	0.1554671235
597	0.1554254765
598	0.1546093901
599	0.1543026946
600	0.1538622001
601	0.1536495947
602	0.1533575224
603	0.1529785706
604	0.1528824447
605	0.1521705679
606	0.1519923796
607	0.1517075645
608	0.1507726735
609	0.1503558705
610	0.1502326282
611	0.1498135951
612	0.1492265602
613	0.1491423466
614	0.1487453274
615	0.1483827247
616	0.1479348697
617	0.1476890776
618	0.1474901399
619	0.1473252376
620	0.1471619519
621	0.1469636918
622	0.1464899925
623	0.146369892
624	0.1460364232
625	0.1459504089
626	0.145668557
627	0.1454081182
628	0.1453858133
629	0.1451387381
630	0.1451230769
631	0.1442832203
632	0.1439566776
633	0.143658601
634	0.1434973443
635	0.143360454
636	0.1431579555
637	0.1428574346
638	0.1425281432
639	0.142037285
640	0.141539023
641	0.1413032391
642	0.1412912724
643	0.1404953571
644	0.140379741
645	0.1401174243
646	0.1391731432
647	0.139057394
648	0.138835115
649	0.1387288191
650	0.1385160483
651	0.1384142598
652	0.1379672889
653	0.1379096984
654	0.1376926006
655	0.1373462578
656	0.1372558455
657	0.1371527439
658	0.1368705801
659	0.1368010075
660	0.136648105
661	0.1362993123
662	0.1356229942
663	0.1352656625
664	0.1349452847
665	0.1349159223
666	0.1343702014
667	0.1343544228
668	0.1337955195
669	0.1334533292
670	0.1332865782
671	0.1332281816
672	0.1331319465
673	0.1329126511
674	0.1325800625
675	0.1323028219
676	0.1320620583
677	0.1319294018
678	0.1317824037
679	0.1317558897
680	0.1316161704
681	0.1312108583
682	0.1308293693
683	0.1301303581
684	0.1299194457
685	0.1294950743
686	0.129308545
687	0.129201095
688	0.1289823633
689	0.1287727584
690	0.1285111174
691	0.1283274643
692	0.1282652988
693	0.1282330817
694	0.1278596144
695	0.1276164022
696	0.1273057867
697	0.1270833785
698	0.126926844
699	0.1267088718
700	0.1266596731
701	0.1263903009
702	0.1261844991
703	0.1260682058
704	0.125843023
705	0.1258303268
706	0.1257661098
707	0.1255876483
708	0.1251047467
709	0.1244729809
710	0.1242551277
711	0.1235495756
712	0.12313721
713	0.1227735243
714	0.1225931463
715	0.1223420455
716	0.1221608472
717	0.1220420835
718	0.1219015888
719	0.121713591
720	0.1213995164
721	0.1213493889
722	0.1212744822
723	0.1210229491
724	0.1208790454
725	0.1207765614
726	0.120756706
727	0.1206273775
728	0.1204862641
729	0.1202530948
730	0.1200383508
731	0.1198813359
732	0.1196690083
733	0.119560891
734	0.119334804
735	0.1187522697
736	0.1186814713
737	0.1185062843
738	0.1184392806
739	0.1180859113
740	0.1178543045
741	0.117596566
742	0.1175344298
743	0.1173882482
744	0.1172992198
745	0.1171905311
746	0.1168992068
747	0.1168440489
748	0.1167060186
749	0.1166519303
750	0.1160876958
751	0.1154706482
752	0.1153531982
753	0.1151960149
754	0.1147878638
755	0.1147066451
756	0.1141807323
757	0.114099698
758	0.1140063209
759	0.1138181306
760	0.1135518698
761	0.1135215062
762	0.1131860121
763	0.1125116197
764	0.1122635279
765	0.1120413751
766	0.1116332334
767	0.1113566034
768	0.1111558711
769	0.1110869888
770	0.1109025364
771	0.1108436653
772	0.1103023778
773	0.1101667025
774	0.110055692
775	0.1097888827
776	0.1097332781
777	0.1095940212
778	0.1093954319
779	0.1093486917
780	0.1091844172
781	0.1089655993
782	0.1084336094
783	0.1080909285
784	0.1080185597
785	0.1079910317
786	0.1078417085
787	0.1077041511
788	0.1075710064
789	0.1073434996
790	0.1070846269
791	0.1067950704
792	0.1065854147
793	0.1065499774
794	0.1061966235
795	0.1059485347
796	0.1056282283
797	0.1055888039
798	0.1054325582
799	0.1053099524
800	0.1051400408
801	0.1050949345
802	0.1049945033
803	0.1049162516
804	0.1049081672
805	0.1047661809
806	0.1047278995
807	0.1044099282
808	0.1042705789
809	0.1039669966
810	0.1038144393
811	0.1037619582
812	0.1036982658
813	0.1034874062
814	0.1032610514
815	0.1031768437
816	0.1030564493
817	0.1030097729
818	0.1028653834
819	0.1025660316
820	0.102521054
821	0.1024478523
822	0.1023157546
823	0.1021443796
824	0.1020641831
825	0.1018696211
826	0.1016591382
827	0.1016312374
828	0.1015908871
829	0.1012841356
830	0.101162849
831	0.101135414
832	0.1010169004
833	0.1007416896
834	0.1006006872
835	0.1005103274
836	0.1004116465
837	0.1003620777
838	0.1002182721
839	0.1002104453
840	0.1001106895
841	0.09991438146
842	0.09986480474
843	0.09956241809
844	0.09953355177
845	0.09950080518
846	0.09932728504
847	0.09927866752
848	0.09908424317
849	0.09889864071
850	0.09877733071
851	0.09870796975
852	0.09870319914
853	0.09862596694
854	0.09860639029
855	0.09857514486
856	0.09816334362
857	0.09806862432
858	0.09801808709
859	0.09799257442
860	0.09794001413
861	0.09760169344
862	0.09752780435
863	0.09728616691
864	0.09720067518
865	0.09715081016
866	0.09709375694
867	0.09702532042
868	0.09699562851
869	0.09686345167
870	0.09678660351
871	0.09677284852
872	0.09659983493
873	0.09637089325
874	0.09634497571
875	0.0961923199
876	0.09604818382
877	0.0959125063
878	0.09566901009
879	0.09532478809
880	0.09504345055
881	0.09491419594
882	0.09484300242
883	0.09467744008
884	0.09455257344
885	0.09445200262
886	0.09431017453
887	0.09424259581
888	0.09410211989
889	0.0940039859
890	0.09390241594
891	0.09373098495
892	0.09367884163
893	0.09342796667
894	0.093396831
895	0.09321398216
896	0.09309844869
897	0.09304406651
898	0.0929373088
899	0.09269112308
900	0.09262033117
901	0.09249273892
902	0.09246916274
903	0.09245594116
904	0.09244636608
905	0.09243334408
906	0.09231396036
907	0.09212117432
908	0.09203265741
909	0.09186700224
910	0.09179193369
911	0.0916609389
912	0.09163470082
913	0.09147311038
914	0.09144157064
915	0.09131407773
916	0.09120787971
917	0.09102907773
918	0.09093159767
919	0.09084846594
920	0.09061377234
921	0.09057818936
922	0.09024572748
923	0.0900510895
924	0.09003366936
925	0.08976687374
926	0.08969467073
927	0.08966203971
928	0.08959622048
929	0.08958949918
930	0.08939473559
931	0.08932743167
932	0.08920863485
933	0.08911072538
934	0.08897813452
935	0.08876550033
936	0.08850610797
937	0.08830922443
938	0.08816784077
939	0.08798384626
940	0.087906897
941	0.08771804453
942	0.08767349119
943	0.08742313473
944	0.08697989453
945	0.08691103211
946	0.08681008909
947	0.08672729664
948	0.08668494013
949	0.08646466124
950	0.08636432211
951	0.08630885719
952	0.08610704206
953	0.08608677292
954	0.08607958201
955	0.08605677537
956	0.08601684741
957	0.08585470835
958	0.08575171912
959	0.08546854672
960	0.08543976797
961	0.08540829117
962	0.08532892003
963	0.08523053834
964	0.08515389768
965	0.08499439378
966	0.08484252842
967	0.08460055899
968	0.08446970966
969	0.08433113434
970	0.08407947695
971	0.08382957565
972	0.08374403248
973	0.08369678103
974	0.08365270071
975	0.08349336143
976	0.08348722134
977	0.08329295116
978	0.08324544546
979	0.08312094087
980	0.0830588539
981	0.08291620669
982	0.08271396599
983	0.0824536853
984	0.08235623085
985	0.08225322217
986	0.08216548
987	0.08213075752
988	0.08197062717
989	0.08190485002
990	0.08176660015
991	0.0817162653
992	0.08165378989
993	0.08152222999
994	0.08146283245
995	0.08140977883
996	0.08134311946
997	0.08104704141
998	0.08088923773
999	0.08064646513
